roles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
id,role_name,description,is_deleted,created_at,updated_at
1,Nurse_(LPN/RN),"Assessments, vitals, care plans, eMAR",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
2,CNA_(Caregiver),"Daily care tasks, logging, abnormal-condition reports.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
3,DON - Director of Nursing,"Care-plan governance, acuity decisions, incident oversight.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
4,Admission_Staff,"Resident profile creation, intake coordination.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
5,System_Administrator,"Accounts, roles, permissions, configuration.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
6,Facility_Manager,"Census, staffing, compliance, billing oversight.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
7,Doctor/Clinical Specialist,"Medication orders, high-acuity sign-off.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
8,HR/Shift_Coordinator,"Schedules, staffing ratios.'",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
9,Nutritionist/Kitchen Staff,"Menus, diets, allergens.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
10,Accountant/Billing Staff,"Invoices, payments.",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
11,Infection_Peventionist,"Infection-control protocols. [Internal Actor — P2/P3 scope, deferred]",0,2026-06-29T09:00:00-07:00,2026-06-29T09:00:00-07:00
,,,,,
role_permissions,,,,,
role_id,permission_id,,,,
4,1,,,,
1,1,,,,
3,1,,,,
1,2,,,,
2,2,,,,
3,2,,,,
4,3,,,,
4,4,,,,
4,5,,,,
1,6,,,,
1,7,,,,
3,7,,,,
1,8,,,,
3,8,,,,
3,9,,,,
1,10,,,,
3,10,,,,
1,11,,,,
2,11,,,,
3,11,,,,
3,12,,,,
1,12,,,,
3,13,,,,
1,13,,,,
2,14,,,,
2,15,,,,
2,16,,,,
1,17,,,,
3,17,,,,
1,18,,,,
1,19,,,,
1,20,,,,
1,21,,,,
3,21,,,,
1,22,,,,
1,23,,,,
3,23,,,,
1,24,,,,
2,24,,,,
3,24,,,,
1,25,,,,
3,25,,,,
1,26,,,,
3,26,,,,
3,27,,,,
3,28,,,,
3,29,,,,
1,30,,,,
2,30,,,,
3,30,,,,
1,31,,,,
2,31,,,,
3,31,,,,
4,31,,,,
5,31,,,,
6,31,,,,
7,31,,,,
8,31,,,,
9,31,,,,
10,31,,,,
11,31,,,,
3,32,,,,
1,33,,,,
2,33,,,,
3,33,,,,
4,33,,,,
5,33,,,,
6,33,,,,
7,33,,,,
8,33,,,,
9,33,,,,
10,33,,,,
11,33,,,,
5,34,,,,
5,35,,,,
5,36,,,,
5,37,,,,
5,38,,,,
5,39,,,,
5,40,,,,
5,41,,,,
5,42,,,,
5,43,,,,
5,44,,,,
5,45,,,,
5,46,,,,
5,47,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
permissions,,,,,
id,action_code,is_phi_sensitive,created_at,,
1,RESIDENT_LIST_VIEW,1,2026-06-29T09:00:00-07:00,,
2,RESIDENT_PROFILE_VIEW,1,2026-06-29T09:00:00-07:00,,
3,RESIDENT_PROFILE_CREATE_EDIT,1,2026-06-29T09:00:00-07:00,,
4,PREADMISSION_SCREENING_CREATE,1,2026-06-29T09:00:00-07:00,,
5,ADMISSION_CREATE,1,2026-06-29T09:00:00-07:00,,
6,ASSESSMENT_CREATE,1,2026-06-29T09:00:00-07:00,,
7,ASSESSMENT_HISTORY_VIEW,1,2026-06-29T09:00:00-07:00,,
8,LOC_CONFIRM_OVERRIDE,1,2026-06-29T09:00:00-07:00,,
9,LOC_HISTORY_VIEW,1,2026-06-29T09:00:00-07:00,,
10,CAREPLAN_CREATE_EDIT,1,2026-06-29T09:00:00-07:00,,
11,CAREPLAN_VIEW,1,2026-06-29T09:00:00-07:00,,
12,REASSESSMENT_TRIGGER,1,2026-06-29T09:00:00-07:00,,
13,SCS_FLAG_CREATE,1,2026-06-29T09:00:00-07:00,,
14,DAILY_TASK_LIST_VIEW,1,2026-06-29T09:00:00-07:00,,
15,TASK_COMPLETION_LOG,1,2026-06-29T09:00:00-07:00,,
16,ABNORMAL_CONDITION_REPORT_CREATE,1,2026-06-29T09:00:00-07:00,,
17,TASK_OVERVIEW_MANAGE,1,2026-06-29T09:00:00-07:00,,
18,MEDPASS_DASHBOARD_VIEW,1,2026-06-29T09:00:00-07:00,,
19,MEDPASS_ADMINISTER,1,2026-06-29T09:00:00-07:00,,
20,MEDPASS_OVERRIDE,1,2026-06-29T09:00:00-07:00,,
21,MAR_VIEW,1,2026-06-29T09:00:00-07:00,,
22,DOSE_LOG_CREATE,1,2026-06-29T09:00:00-07:00,,
23,MEDICATION_ORDER_VIEW,1,2026-06-29T09:00:00-07:00,,
24,INCIDENT_CREATE,1,2026-06-29T09:00:00-07:00,,
25,CHARTLOCK_CONFIRM,1,2026-06-29T09:00:00-07:00,,
26,INCIDENT_DETAIL_VIEW,1,2026-06-29T09:00:00-07:00,,
27,INCIDENT_LIST_VIEW,1,2026-06-29T09:00:00-07:00,,
28,INCIDENT_EXTERNAL_REPORT_SUBMIT,1,2026-06-29T09:00:00-07:00,,
29,CHARTLOCK_UNLOCK_OVERRIDE,1,2026-06-29T09:00:00-07:00,,
30,DASHBOARD_VIEW,1,2026-06-29T09:00:00-07:00,,
31,NOTIFICATIONS_VIEW,1,2026-06-29T09:00:00-07:00,,
32,AUDIT_LOG_VIEW,1,2026-06-29T09:00:00-07:00,,
33,RESIDENT_SEARCH,1,2026-06-29T09:00:00-07:00,,
34,AD_USER_LIST_VIEW,0,2026-06-29T09:00:00-07:00,,
35,AD_USER_CREATE_EDIT,0,2026-06-29T09:00:00-07:00,,
36,AD_ROLE_PERMISSION_MATRIX_VIEW,0,2026-06-29T09:00:00-07:00,,
37,AD_USER_ACTIVATE_TOGGLE,0,2026-06-29T09:00:00-07:00,,
38,AD_FACILITY_SETTINGS_MANAGE,0,2026-06-29T09:00:00-07:00,,
39,AD_LOC_RATE_MANAGE,0,2026-06-29T09:00:00-07:00,,
40,AD_STAFFING_RATIO_CONFIG_MANAGE,0,2026-06-29T09:00:00-07:00,,
41,AD_INCIDENT_SEVERITY_CONFIG_MANAGE,0,2026-06-29T09:00:00-07:00,,
42,AD_SLA_CONFIG_MANAGE,0,2026-06-29T09:00:00-07:00,,
43,AD_DEMO_DATA_SEED,0,2026-06-29T09:00:00-07:00,,
44,AD_DATA_EXPORT,1,2026-06-29T09:00:00-07:00,,
45,AD_AUDIT_LOG_FULL_VIEW,1,2026-06-29T09:00:00-07:00,,
46,AD_ACTIVE_SESSIONS_MANAGE,0,2026-06-29T09:00:00-07:00,,
47,AD_PASSWORD_RESET,0,2026-06-29T09:00:00-07:00,,
